timestamp,water_usage,carbon_emission
2024-06-01,1500,200
2024-06-02,1550,210
2024-06-03,1400,190
2024-06-04,1450,205
2024-06-05,1500,200
2024-06-06,1550,210
2024-06-07,1400,195
2024-06-08,1450,205
2024-06-09,1500,210
2024-06-10,1550,200
2024-06-11,1400,190
2024-06-12,1450,205
2024-06-13,1500,210
2024-06-14,1550,200
2024-06-15,1400,195
2024-06-16,1450,205
2024-06-17,1500,210
2024-06-18,1550,200
2024-06-19,1400,195
2024-06-20,1450,205
2024-06-21,1500,210
2024-06-22,1550,200
2024-06-23,1400,195
2024-06-24,1450,205
2024-06-25,1500,210
2024-06-26,1550,200
2024-06-27,1400,195
2024-06-28,1450,205
2024-06-29,1500,210
2024-06-30,1550,200
